업체회원ID,상호명,주소,음식분야,음식점전화번호,사업자등록번호,테이블정보,메뉴정보,운영시간정보
null,매콤촌,서울특별시 동대문구 용두동 235-2 1층 ,한식,null,null,null,null,null
null,혜성,서울특별시 동대문구 청량리동 50-18 ,한식,null,null,null,null,null
null,대성집,서울특별시 동대문구 용두동 754-9 (용머리길 57) ,한식,null,null,null,null,null
null,일미기사식당,서울특별시 동대문구 회기동 60-267 ,한식,null,null,null,null,null
null,허브영양족발,서울특별시 동대문구 용두동 127-18 ,한식,null,null,null,null,null
null,을목호프,서울특별시 동대문구 전농동 295-30 ,호프/통닭,null,null,null,null,null
null,메가커피,서울특별시 동대문구 신설동 84-5 1층 ,분식,null,null,null,null,null
null,홍능족발,서울특별시 동대문구 청량리동 311 ,한식,null,null,null,null,null
null,별미 명태랑 낙지랑,서울특별시 동대문구 신설동 98-8 1층 ,한식,null,null,null,null,null
null,홍능갈비본점,서울특별시 동대문구 청량리동 520-14 520-15 16 17 19 20 24 25 ,한식,null,null,null,null,null
null,태능식당,서울특별시 동대문구 휘경동 112-49 (망우로 241) ,한식,null,null,null,null,null
null,홍콩반점0410(경희대점),서울특별시 동대문구 회기동 16-46 ,중국식,null,null,null,null,null
null,24시해장국,서울특별시 동대문구 이문동 305-59 ,한식,null,null,null,null,null
null,한우리한방민물장어생삼겹,서울특별시 동대문구 청량리동 703 1층 ,탕류(보신용),null,null,null,null,null
null,목화집,서울특별시 동대문구 전농동 295-48 (전농로147) ,한식,null,null,null,null,null
null,지영식당,서울특별시 동대문구 전농동 295-52 ,한식,null,null,null,null,null
null,오복치킨,서울특별시 동대문구 청량리동 298-0 ,호프/통닭,null,null,null,null,null
null,미미식당,서울특별시 동대문구 용두동 90-2 (용두일길71) ,한식,null,null,null,null,null
null,완도회집,서울특별시 동대문구 제기동 719-2 ,일식,null,null,null,null,null
null,송정,서울특별시 동대문구 전농동 129-20 1층 ,한식,null,null,null,null,null
null,홍파식당,서울특별시 동대문구 제기동 634-0 ,한식,null,null,null,null,null
null,육쌈냉면,서울특별시 동대문구 청량리동 283 ,냉면집,null,null,null,null,null
null,소양강메기매운탕,서울특별시 동대문구 신설동 103-6 (하정로 16) ,한식,null,null,null,null,null
null,오복식당,서울특별시 동대문구 답십리동 469-2 ,한식,null,null,null,null,null
null,후쿠라멘,서울특별시 동대문구 신설동 67-1 ,한식,null,null,null,null,null
null,태화루앤도화 떳다철가방,서울특별시 동대문구 장안동 403-3 ,중국식,null,null,null,null,null
null,중화호반닭갈비·막국수,서울특별시 동대문구 휘경동 321-14 1층 ,한식,null,null,null,null,null
null,성천막국수,서울특별시 동대문구 답십리동 33-28 ,분식,null,null,null,null,null
null,마포원보쌈,서울특별시 동대문구 신설동 98-12 ,탕류(보신용),null,null,null,null,null
null,식스센스다이닝,서울특별시 동대문구 신설동 98-17 (신설길 5) ,호프/통닭,null,null,null,null,null
null,길식당,서울특별시 동대문구 용두동 252-159 (하정로54) ,한식,null,null,null,null,null
null,우리식당,서울특별시 동대문구 용두동 39-628 ,한식,null,null,null,null,null
null,세겹살,서울특별시 동대문구 답십리동 495-1 (천호대로 117) ,한식,null,null,null,null,null
null,칠칠켄터키,서울특별시 동대문구 장안동 463-8 ,호프/통닭,null,null,null,null,null
null,목포집,서울특별시 동대문구 휘경동 259 ,일식,null,null,null,null,null
null,제일식당,서울특별시 동대문구 용두동 709-20 ,한식,null,null,null,null,null
null,동해루,서울특별시 동대문구 전농동 103-286 (전농로235-1) ,중국식,null,null,null,null,null
null,북경,서울특별시 동대문구 장안동 331-12 ,중국식,null,null,null,null,null
null,북경 영빈관,서울특별시 동대문구 장안동 464-6 2층 ,중국식,null,null,null,null,null
null,국가대표바지락손칼국수,서울특별시 동대문구 장안동 448-1 ,한식,null,null,null,null,null
null,청년다방서울시립대점,서울특별시 동대문구 전농동 103-320 ,경양식,null,null,null,null,null
null,김밥천국,서울특별시 동대문구 휘경동 270-1 (망우로 193) ,분식,null,null,null,null,null
null,강세호참치,서울특별시 동대문구 신설동 102-32 ,한식,null,null,null,null,null
null,진미식당,서울특별시 동대문구 제기동 67-106 ,한식,null,null,null,null,null
null,광주회관,서울특별시 동대문구 이문동 288-4 ,한식,null,null,null,null,null
null,산촌버섯마을,서울특별시 동대문구 신설동 102-36 (신설길12) ,한식,null,null,null,null,null
null,중국성,서울특별시 동대문구 신설동 102-36 (신설길 12) ,중국식,null,null,null,null,null
null,신술동,서울특별시 동대문구 신설동 80-4 (한빛길5) ,한식,null,null,null,null,null
null,보성장,서울특별시 동대문구 전농동 129-42 ,한식,null,null,null,null,null
null,장수돌솥밥,서울특별시 동대문구 답십리동 4-259 ,한식,null,null,null,null,null
null,오가네주먹고기,서울특별시 동대문구 장안동 285-3 (사가정길231) ,한식,null,null,null,null,null
null,더 맛있는 족발보쌈 장한평점,서울특별시 동대문구 장안동 463-4 ,한식,null,null,null,null,null
null,명인만두,서울특별시 동대문구 장안동 465-1 ,분식,null,null,null,null,null
null,목포식당,서울특별시 동대문구 청량리동 284-4 (1층) ,한식,null,null,null,null,null
null,노랑통닭 경희대점,서울특별시 동대문구 회기동 60-51 1층 ,호프/통닭,null,null,null,null,null
null,진성각,서울특별시 동대문구 이문동 255-251 1층 ,횟집,null,null,null,null,null
null,개화,서울특별시 동대문구 장안동 123-1 1층 ,중국식,null,null,null,null,null
null,노바 이탈리아노,서울특별시 동대문구 회기동 33-1 (경희대길 36) ,경양식,null,null,null,null,null
null,비스마르크,서울특별시 동대문구 이문동 289-1 ,호프/통닭,null,null,null,null,null
null,메이퀸,서울특별시 동대문구 이문동 289-1 ,한식,null,null,null,null,null
null,또봉이통닭신설동점,서울특별시 동대문구 신설동 102-35 1층 ,한식,null,null,null,null,null
null,샘터컨츄리치킨,서울특별시 동대문구 제기동 348-1 ,통닭(치킨),null,null,null,null,null
null,아메리카치킨,서울특별시 동대문구 답십리동 465-55 (천호대로55) ,통닭(치킨),null,null,null,null,null
null,두리,서울특별시 동대문구 장안동 199-9 ,분식,null,null,null,null,null
null,늘봄,서울특별시 동대문구 전농동 655-12 (답십리길87) ,호프/통닭,null,null,null,null,null
null,황제코다리&족발,서울특별시 동대문구 신설동 102-37 ,한식,null,null,null,null,null
null,팔도빈대떡앤보쌈,서울특별시 동대문구 신설동 97-34 (신설길13) ,한식,null,null,null,null,null
null,용화장,서울특별시 동대문구 용두동 112-42 ,한식,null,null,null,null,null
null,용두똥돼지,서울특별시 동대문구 용두동 118-86 ,한식,null,null,null,null,null
null,용두옥,서울특별시 동대문구 용두동 129-486 (풍인길9) ,한식,null,null,null,null,null
null,오돌이,서울특별시 동대문구 용두동 235-23 (무학로90) ,한식,null,null,null,null,null
null,태백숯불갈비,서울특별시 동대문구 용두동 36-7 (하정로 130) ,한식,null,null,null,null,null
null,토성옥,서울특별시 동대문구 제기동 892-12 (약령서길 38) ,한식,null,null,null,null,null
null,삼보기사식당,서울특별시 동대문구 제기동 1203-0 (방아다리길 43) ,한식,null,null,null,null,null
null,전농칼국수,서울특별시 동대문구 전농동 38-59 (사가정길138) ,한식,null,null,null,null,null
null,안흥갈비 본점,서울특별시 동대문구 장안동 306-1 1층 ,한식,null,null,null,null,null
null,정원갈비,서울특별시 동대문구 장안동 433-8 (장평1길5) ,한식,null,null,null,null,null
null,전농동 해물알탕전문,서울특별시 동대문구 장안동 433-8 1층 ,통닭(치킨),null,null,null,null,null
null,진주식당,서울특별시 동대문구 청량리동 235-6 지하1층 (망우로 33) ,한식,null,null,null,null,null
null,팔각도 경희대점,서울특별시 동대문구 회기동 60-66 1층 ,한식,null,null,null,null,null
null,이조해장국,서울특별시 동대문구 휘경동 256-0 257 (휘경일길 14) ,한식,null,null,null,null,null
null,고흥식당,서울특별시 동대문구 이문동 305-3 ,한식,null,null,null,null,null
null,아사원,서울특별시 동대문구 이문동 175-20 ,한식,null,null,null,null,null
null,보배반점 외대점,서울특별시 동대문구 이문동 305-73 1층 ,통닭(치킨),null,null,null,null,null
null,설,서울특별시 동대문구 회기동 16-73 ,분식,null,null,null,null,null
null,동해해물탕,서울특별시 동대문구 신설동 102-37 (신설길16) ,탕류(보신용),null,null,null,null,null
null,태성정,서울특별시 동대문구 신설동 104-16 ,한식,null,null,null,null,null
null,행복한연탄92,서울특별시 동대문구 답십리동 241-10 ,한식,null,null,null,null,null
null,흙식당,서울특별시 동대문구 답십리동 488-327 (전농로12) ,한식,null,null,null,null,null
null,원보리밥,서울특별시 동대문구 장안동 330-2 (답십리길 293) ,한식,null,null,null,null,null
null,치킨뱅이,서울특별시 동대문구 장안동 464-3 ,통닭(치킨),null,null,null,null,null
null,어썸타이,서울특별시 동대문구 휘경동 256 ,기타,null,null,null,null,null
null,신통일부대찌개,서울특별시 동대문구 이문동 288-55 ,호프/통닭,null,null,null,null,null
null,성신식당,서울특별시 동대문구 답십리동 497-24 ,한식,null,null,null,null,null
null,영화루,서울특별시 동대문구 장안동 457-14 ,중국식,null,null,null,null,null
null,실크로드,서울특별시 동대문구 전농동 103-347 (전농로221) ,까페,null,null,null,null,null
null,볼텍스,서울특별시 동대문구 이문동 305-61 (휘경로 14) ,호프/통닭,null,null,null,null,null
null,산자락,서울특별시 동대문구 신설동 102-4 ,한식,null,null,null,null,null
null,길목치킨,서울특별시 동대문구 장안동 463-8 ,통닭(치킨),null,null,null,null,null
